Title,Author,Year Published,Genre,Description,Image URL
Robinson Crusoe,Daniel Defoe,1719,Adventure,A mariner who is shipwrecked on a deserted island and survives there for 28 years.,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327942727l/2932.jpg
Slaughterhouse-Five,Kurt Vonnegut,1969,Science Fiction,A satirical novel about World War II experiences and journeys through time of a soldier named Billy Pilgrim.,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1440319389l/4981.jpg
Station Eleven,Emily St. John Mandel,2014,Science Fiction,A novel about the survival of human culture after a devastating pandemic.,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1680459872i/20170404.jpg
Tess of the d'Urbervilles,Thomas Hardy,1891,Classic,A poor woman's struggles against Victorian society's injustices.,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1415859575l/32234.jpg
The Adventures of Huckleberry Finn,Mark Twain,1884,Adventure,"Follows a young boy as he floats down the Mississippi River on a raft with an escaped slave, Jim, encountering various characters and adventures along the way.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1405973850l/2956.jpg
The Adventures of Sherlock Holmes,Arthur Conan Doyle,1892,Detective Fiction,A collection of twelve short stories featuring the famous detective.,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1355929358l/3590.jpg
The Alchemist,Paulo Coelho,1988,Philosophical,A shepherd's journey to discover a worldly treasure reveals the riches within.,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1483412266l/865.jpg
The Bell Jar,Sylvia Plath,1963,Classic,A young woman's descent into mental illness and depression in early 1950s America.,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1554582218i/6514.jpg
The Brief Wondrous Life of Oscar Wao,Junot Díaz,2007,Literary Fiction,"A novel detailing the life of a Dominican boy growing up in New Jersey, who is obsessed with science fiction and fantasy novels.",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1391409748i/297673.jpg
The Brothers Karamazov,Fyodor Dostoevsky,1880,Philosophical,"A philosophical novel exploring faith, doubt, and reason, set against a modernizing Russia.",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1427728126i/4934.jpg
The Call of the Wild,Jack London,1903,Adventure,A domesticated dog's journey to survival in the wild Alaskan wilderness.,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388211062l/1858.jpg
The Catcher in the Rye,J.D. Salinger,1951,Classic,A teenager's cynical journey through New York City after being expelled from school.,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1398034300l/5107.jpg
The Count of Monte Cristo,Alexandre Dumas,1844,Adventure,"A story of false imprisonment, revenge, and redemption.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1309203605l/7126.jpg
The Da Vinci Code,Dan Brown,2003,Thriller,A mystery involving a conspiracy within the Catholic Church.,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1579621267l/968.jpg
The Divine Comedy,Dante Alighieri,1320,Epic Poetry,"A profound journey through the three realms of the dead: Inferno, Purgatorio, and Paradiso.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388341072l/100265.jpg
The God of Small Things,Arundhati Roy,1997,Literary Fiction,A family’s history and tragedy in 1960s India.,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1590282886i/9777.jpg
The Grapes of Wrath,John Steinbeck,1939,Realist,A powerful tale of an Oklahoma family driven off their farm and forced to travel west to the promised lands of California during the Great Depression.,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1375670575i/18114322.jpg
The Great Gatsby,F. Scott Fitzgerald,1925,Classic,A novel about the American dream and its disintegration during the roaring twenties.,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1490528560l/4671.jpg
The Handmaid's Tale,Margaret Atwood,1985,Dystopian,A future where women are subjugated and controlled in a theocratic society.,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1578028274l/38447.jpg
The Hobbit,J.R.R. Tolkien,1937,Fantasy,The adventure of Bilbo Baggins as he attempts to secure a treasure protected by a dragon.,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1372847500l/5907.jpg
The Jungle,Upton Sinclair,1906,Political,A novel that exposes the harsh conditions and exploited lives of immigrants in the United States.,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320562007l/158114.jpg
The Kite Runner,Khaled Hosseini,2003,Drama,A story of friendship and redemption between two boys growing up in Afghanistan.,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1484565687l/77203.jpg
The Lord of the Rings,J.R.R. Tolkien,1954,Fantasy,An epic fantasy of the quest to destroy a powerful ring.,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1411114164l/33.jpg
The Magic Mountain,Thomas Mann,1924,Philosophical,"Set in a Swiss sanatorium, this novel is a deep meditation on illness, wellness, and the creeping malaise of modernity.",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1645738968i/88077.jpg
The Magic Mountain,Mikhail Bulgakov,1967,Fantasy,"A novel where the Devil visits the atheistic Soviet Union, blending elements of fantasy, romance, and political satire.",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327867963i/117833.jpg
The Metamorphosis,Franz Kafka,1915,Modernist,"A novella about a man who transforms into a giant insect, exploring themes of alienation and human loneliness.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1359061917l/485894.jpg
The Nightingale,Kristin Hannah,2015,Historical Fiction,Two sisters face brutally different paths through occupied France during World War II.,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1681839850i/21853621.jpg
The Odyssey,Homer,8th century BC,Epic Poetry,An epic poem recounting the adventures of Odysseus during his journey home from the Trojan War.,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1390173285l/1381.jpg
The Old Man and the Sea,Ernest Hemingway,1952,Literary Fiction,The story of an aging Cuban fisherman who struggles with a giant marlin far out in the Gulf Stream.,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1329189714l/2165.jpg
The Picture of Dorian Gray,Oscar Wilde,1890,Philosophical,"A novel that explores themes of aestheticism, moral duplicity, and self-indulgence.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1424596966l/5297.jpg
The Plague,Albert Camus,1947,Philosophical,A novel about the human condition and resilience in the face of an inexplicable disaster.,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1461084841l/11989.jpg
The Poisonwood Bible,Barbara Kingsolver,1998,Historical Fiction,A story told by the wife and four daughters of a fierce evangelical missionary who takes his family to the Belgian Congo in 1959.,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1412242487l/7244.jpg
The Road,Cormac McCarthy,2006,Post-apocalyptic,A father and son's bleak journey across a post-apocalyptic landscape.,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1439197219l/6288.jpg
The Scarlet Letter,Nathaniel Hawthorne,1850,Classic,"A powerful and searing study of Puritan New England, focusing on the consequences of adultery and betrayal.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1404810944l/12296.jpg
The Secret History,Donna Tartt,1992,Thriller,A murder among a group of brilliant but eccentric students at an elite New England college.,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1451554846l/29044.jpg
The Shadow of the Wind,Carlos Ruiz Zafón,2001,Mystery,A young boy in post-Spanish Civil War Barcelona discovers a book that leads him into a world of intrigue and betrayal.,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1628791882i/1232.jpg
The Shining,Stephen King,1977,Horror,A family’s winter in an isolated hotel erupts into madness.,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1353277730l/11588.jpg
The Silence of the Lambs,Thomas Harris,1988,Thriller,An FBI trainee seeks the advice of an imprisoned cannibalistic serial killer to catch another serial killer.,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1390426249l/23807.jpg
The Sound and the Fury,William Faulkner,1929,Modernist,"A complex tale of the decline of the Compson family in Mississippi, employing a range of narrative techniques.",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1433089995i/10975.jpg
The Stranger,Albert Camus,1942,Philosophical,The story of an emotionally detached man who is drawn into a senseless murder on an Algerian beach.,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1590930002l/49552.jpg
The Sun Also Rises,Ernest Hemingway,1926,Literary Fiction,A poignant exploration of the post-World War I disillusionment experienced by a group of American expatriates in Europe.,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1509802323i/3876.jpg
The Three Musketeers,Alexandre Dumas,1844,Historical,A historical adventure about the escapades of a young man named d'Artagnan after he leaves home to join the Musketeers of the Guard.,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1405973850l/7190.jpg
The Time Traveler's Wife,Audrey Niffenegger,2003,Romance,A love story about a man with a genetic disorder that causes him to time travel unpredictably.,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1380660571i/18619684.jpg
The Trial,Franz Kafka,1925,Modernist,"A nightmarish novel where a man is arrested and prosecuted by a remote authority, without ever being informed of his charges.",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1320399438i/17690.jpg
The Wind-Up Bird Chronicle,Haruki Murakami,1994,Magical Realism,"A blend of the mundane and the surreal, as a man searches for his missing wife.",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327872639i/11275.jpg
To Kill a Mockingbird,Harper Lee,1960,Classic,A deep dive into race and human rights in America through the eyes of Scout Finch.,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1553383690l/2657.jpg
To the Lighthouse,Virginia Woolf,1927,Modernist,"The story of the Ramsay family's summer holiday in Scotland, exploring themes of existential doubt and the passage of time.",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1639106809i/59716.jpg
Ulysses,James Joyce,1922,Modernist,A complex narrative of a single day in the life of Leopold Bloom in Dublin.,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1428891345l/338798.jpg
War and Peace,Leo Tolstoy,1869,Historical,A narrative that follows the French invasion of Russia and the impact of the Napoleonic era on Tsarist society.,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1413215930l/656.jpg
White Fang,Jack London,1906,Adventure,"The story of a wild wolfdog's journey to domestication in Yukon Territory, Canada.",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388184640l/1852.jpg
White Teeth,Zadie Smith,2000,Literary Fiction,A multi-generational tale exploring Britain's relationship with people from formerly colonized countries.,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1374739885i/3711.jpg
Wuthering Heights,Emily Brontë,1847,Gothic,A story of love and revenge on the Yorkshire moors.,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1557343311l/6185.jpg
